"record_id","RSN","component","split","target_IM_g","native_IM_g","scale_factor","max_IDR","max_PFA_g","RD","collapse","convergence"
"GM018","829","RIO360","train","3.2373940143476263","0.5124144884963814","6.317920525329737","0.0520249454926653","3.15460955053956","0.0084261810523948","False","True"
"GM018","829","RIO360","train","5.0","0.5124144884963814","9.757725654229446","0.0739702365091859","4.958572941034981","0.0029559138926489","False","True"
"GM019","848","CLW-LN","train","0.1","0.2686437560794275","0.3722401795574728","0.0054194764172524","0.3327226606943932","8.351280464336668e-05","False","True"
"GM019","848","CLW-LN","train","0.1544452104946378","0.2686437560794275","0.5749071288631569","0.0083701226515327","0.5138741206543459","0.0001289813804464","False","True"
"GM019","848","CLW-LN","train","0.23853323044733","0.2686437560794275","0.8879165253213818","0.0129065427472675","0.7740803581746226","0.0007279588836663","False","True"
"GM019","848","CLW-LN","train","0.3684031498640386","0.2686437560794275","1.371344546549283","0.0163349417154252","1.0106863603320666","0.0016709313448135","False","True"
"GM019","848","CLW-LN","train","0.5689810202763907","0.2686437560794275","2.117975971524777","0.0236830977697489","1.3740463992831002","0.0025557251649893","False","True"
"GM019","848","CLW-LN","train","0.8787639344404101","0.2686437560794275","3.271112447447295","0.0316492048191309","1.8385509646425655","0.0011962928334955","False","True"
"GM019","848","CLW-LN","train","1.3572088082974532","0.2686437560794275","5.052076504976276","0.0393698504258552","2.325731786655738","0.0020808016962908","False","True"
"GM019","848","CLW-LN","train","2.096144000826768","0.2686437560794275","7.802690192460756","0.050614107280337","2.917517767366011","0.0016588002561308","False","True"
"GM019","848","CLW-LN","train","3.2373940143476263","0.2686437560794275","12.05088129199048","0.0635986769061965","3.747230542493873","0.0030846342256266","False","True"
"GM019","848","CLW-LN","train","5.0","0.2686437560794275","18.61200897787364","0.0925367584321279","5.0348058334772805","0.015685045943661","False","True"
"GM020","848","CLW-TR","train","0.1","0.4932824388388774","0.2027236165864468","0.0030794519855431","0.1669659449448354","0.0001639930727261","False","True"
"GM020","848","CLW-TR","train","0.1544452104946378","0.4932824388388774","0.3130969163592805","0.0047560660688597","0.2578708837643496","0.0002532797627311","False","True"
"GM020","848","CLW-TR","train","0.23853323044733","0.4932824388388774","0.4835631915233111","0.0073455161323528","0.3982691505461451","0.0003911796281975","False","True"
"GM020","848","CLW-TR","train","0.3684031498640386","0.4932824388388774","0.7468401890227669","0.0106994450453249","0.6138210974709988","0.0009128756637956","False","True"
"GM020","848","CLW-TR","train","0.5689810202763907","0.4932824388388774","1.153458901994764","0.0138675736258591","0.8294239688153522","0.0009210207200119","False","True"
"GM020","848","CLW-TR","train","0.8787639344404101","0.4932824388388774","1.781462029154952","0.0197420065729039","1.074311991766815","0.0024480930148079","False","True"
"GM020","848","CLW-TR","train","1.3572088082974532","0.4932824388388774","2.751382780810413","0.0350826039756792","1.5681636414393156","0.0076041786377517","False","True"
"GM020","848","CLW-TR","train","2.096144000826768","0.4932824388388774","4.249378927335865","0.0562667360691753","1.930229395903484","0.015272214126075","False","True"
"GM020","848","CLW-TR","train","3.2373940143476263","0.4932824388388774","6.562962229038662","0.0767115582367993","2.466195006568752","0.0229136229444609","False","True"
"GM020","848","CLW-TR","train","5.0","0.4932824388388774","10.136180829322342","0.0917734160688128","3.2747448329609505","0.0277426719952287","False","True"
"GM021","900","YER270","train","0.1","0.6102740994622827","0.1638607964652453","0.003074624163675","0.1263121781876996","5.615037635043168e-05","False","True"
"GM021","900","YER270","train","0.1544452104946378","0.6102740994622827","0.2530751520189383","0.0047486100071781","0.195083089603033","8.672155905368049e-05","False","True"
"GM021","900","YER270","train","0.23853323044733","0.6102740994622827","0.3908624512452741","0.007333985003859","0.3012960341582172","0.0001339311125394","False","True"
"GM021","900","YER270","train","0.3684031498640386","0.6102740994622827","0.6036683355702651","0.0113627829258456","0.4645252565605101","0.0006193136865804","False","True"
